id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1062527013885315764,private twin room prime location,20536619,Emily,,THIRTEENTH WARD,42.67096068386967,-73.79513938040748,Private room,59,4,6,2024-08-29,0.83,5,61,6,
1072781767409521866,The Bluebird’s Nest,426223840,Antonio,,ELEVENTH WARD,42.663915656143736,-73.77786945551634,Entire home/apt,91,1,32,2024-08-12,4.47,1,151,32,
1073179963201889958,In the heart of Albany,31994990,G.G.,,SEVENTH WARD,42.644728764618286,-73.77641182984108,Entire home/apt,53,20,1,2024-08-04,0.91,2,271,1,
1075444056381274297,The Tangerine Door,542733174,Rebecca,,TWELFTH WARD,42.67908161690146,-73.79504903417528,Entire home/apt,139,2,13,2024-08-17,1.81,1,84,13,
1079742757364810916,Lark St Oasis: Parking & Laundry,119340359,Lori,,SIXTH WARD,42.65607073634355,-73.76345323405465,Entire home/apt,137,28,6,2024-03-10,0.90,2,92,6,
1090781013234004527,Newly renovated cozy apartment !,521669673,Kody,,THIRD WARD,42.65975214340023,-73.76311389302354,Entire home/apt,68,14,0,,,4,268,0,
1090800410444414860,Work hard and relax !,521669673,Kody,,THIRD WARD,42.65874240611128,-73.76302092791236,Entire home/apt,68,14,0,,,4,268,0,
1091422934956081673,2 bed with parking off Madison,232967878,Diana,,TENTH WARD,42.65988161939321,-73.78485791400874,Entire home/apt,105,2,11,2024-08-12,2.01,25,58,11,
1091500387329731524,Triplex oasis w:parking near MVP,232967878,Diana,,SECOND WARD,42.64324059635594,-73.7580524316089,Entire home/apt,87,2,27,2024-08-21,4.26,25,73,27,
1097201673425863720,Entire Apartment in Albany NY (1 bedroom).,360806709,Gloria,,SEVENTH WARD,42.64148495676627,-73.77925047370368,Entire home/apt,80,1,7,2024-09-02,6.56,1,141,7,
1097995825442731795,New Center square studio,232967878,Diana,,SIXTH WARD,42.65268876827562,-73.76567401908574,Entire home/apt,92,2,21,2024-08-20,3.50,25,52,21,
1100876731732967826,"Homey, Quiet 2BR W/ Washer Dryer",152762198,Allen,,FOURTEENTH WARD,42.67007960354571,-73.80691103355556,Entire home/apt,100,3,10,2024-08-26,2.07,9,167,10,
1102984130027939637,Lovely 1 bedroom across the Park,37769478,Erion,,SIXTH WARD,42.65288614402312,-73.7683428411729,Entire home/apt,77,1,29,2024-09-01,4.83,10,174,29,
1104977057298366617,Sunny 2nd Floor Room in Historic Manor Retreat,382970529,Thomas,,THIRTEENTH WARD,42.66943098938467,-73.79881962357733,Private room,65,1,43,2024-08-24,7.05,12,182,43,
1105303461851883481,Downtown Brownstone with a View!,14817455,Matt,,THIRD WARD,42.65749260692557,-73.7526296408543,Entire home/apt,140,7,0,,,1,248,0,
1108060100336766656,downtown,539608284,Joyhefsiba,,THIRD WARD,42.661410620618476,-73.76361116267829,Private room,70,1,0,,,1,364,0,
1111221935683053416,Historical Pastures,418250661,Stephanie,,THIRD WARD,42.6564469,-73.7507251,Entire home/apt,116,3,5,2024-05-12,0.90,1,263,5,
1114084795618939736,Apartment in the heart of Albany near Hospitals,32379616,Fabiola,,THIRD WARD,42.664487311055446,-73.76899561954383,Entire home/apt,67,28,0,,,3,253,0,
1119691401020641385,Serene 1BR Escape: Walk to Eateries & Parks in ALB,472965048,Matt,,SIXTH WARD,42.65347718514305,-73.76369544370493,Entire home/apt,95,1,3,2024-06-03,0.59,2,177,3,
